base_quantile,delta,criticality,q_conf_us,raw_coverage,calibrated_coverage,mean_inflation_us
Q90,0.01,HI,34469.1875,0.9771428571428571,1.0,34469.1875
Q90,0.01,LO,13645.6875,0.9580952380952381,0.9923809523809524,13645.6875
Q90,0.01,ALL,,0.9676190476190476,0.9961904761904762,24057.4375
Q90,0.05,HI,0.0,0.9771428571428571,0.9771428571428571,0.0
Q90,0.05,LO,0.0,0.9580952380952381,0.9580952380952381,0.0
Q90,0.05,ALL,,0.9676190476190476,0.9676190476190476,0.0
Q90,0.1,HI,0.0,0.9771428571428571,0.9771428571428571,0.0
Q90,0.1,LO,0.0,0.9580952380952381,0.9580952380952381,0.0
Q90,0.1,ALL,,0.9676190476190476,0.9676190476190476,0.0
Q95,0.01,HI,15665.78125,0.9942857142857143,1.0,15665.78125
Q95,0.01,LO,2457.15625,0.9857142857142858,0.9904761904761905,2457.15625
Q95,0.01,ALL,,0.99,0.9952380952380953,9061.46875
Q95,0.05,HI,0.0,0.9942857142857143,0.9942857142857143,0.0
Q95,0.05,LO,0.0,0.9857142857142858,0.9857142857142858,0.0
Q95,0.05,ALL,,0.99,0.99,0.0
Q95,0.1,HI,0.0,0.9942857142857143,0.9942857142857143,0.0
Q95,0.1,LO,0.0,0.9857142857142858,0.9857142857142858,0.0
Q95,0.1,ALL,,0.99,0.99,0.0
Q99,0.01,HI,0.0,1.0,1.0,0.0
Q99,0.01,LO,0.0,1.0,1.0,0.0
Q99,0.01,ALL,,1.0,1.0,0.0
Q99,0.05,HI,0.0,1.0,1.0,0.0
Q99,0.05,LO,0.0,1.0,1.0,0.0
Q99,0.05,ALL,,1.0,1.0,0.0
Q99,0.1,HI,0.0,1.0,1.0,0.0
Q99,0.1,LO,0.0,1.0,1.0,0.0
Q99,0.1,ALL,,1.0,1.0,0.0
