sample_id,graph_id,target_node,target_role,target_index,context_index,context_id,core_type,core_id,dvfs_level,frequency_ghz,voltage_v,local_target_node_index,y_exec_us_raw,y_exec_us,Q50_pred_us,Q90_pred_us,Q95_pred_us,Q99_pred_us,criticality,deadline_us,period_us,split,Qhat_base_us,q_conf_us,C_e_us,raw_covered,calibrated_covered,inflation_us,sliding_q_conf_us,sliding_C_e_us,sliding_covered
test_ood_test_ood_000010_30,test_ood_000010,528,communication_heavy,4,2,test_ood_000010_t4_c2,big,big_0,0,1.0,0.9,527,366253.34,366253.34375,385333.75,418121.71875,427391.09375,447402.5625,LO,3524939,4285244,test_ood,427391.09375,0.0,427391.09375,True,True,0.0,0.0,427391.09375,True
test_ood_test_ood_000010_02,test_ood_000010,21,source_like,0,2,test_ood_000010_t0_c2,big,big_1,2,1.8,1.06,20,22961.807,22961.806640625,22499.53125,35014.875,39026.640625,47932.84375,LO,3524939,4285244,test_ood,39026.640625,0.0,39026.640625,True,True,0.0,0.0,39026.640625,True
test_ood_test_ood_000010_03,test_ood_000010,21,source_like,0,3,test_ood_000010_t0_c3,little,little_0,2,1.2,0.93,20,46689.68,46689.6796875,45487.296875,58366.140625,62188.109375,71177.046875,LO,3524939,4285244,test_ood,62188.109375,0.0,62188.109375,True,True,0.0,0.0,62188.109375,True
test_ood_test_ood_000010_04,test_ood_000010,21,source_like,0,4,test_ood_000010_t0_c4,big,big_0,3,2.2,1.15,20,19372.643,19372.642578125,21270.640625,33847.375,37910.640625,46895.3125,LO,3524939,4285244,test_ood,37910.640625,0.0,37910.640625,True,True,0.0,0.0,37910.640625,True
test_ood_test_ood_000010_05,test_ood_000010,21,source_like,0,5,test_ood_000010_t0_c5,little,little_0,3,1.5,1.0,20,41632.11,41632.109375,37695.75,50440.078125,54355.171875,63372.203125,LO,3524939,4285244,test_ood,54355.171875,0.0,54355.171875,True,True,0.0,0.0,54355.171875,True
test_ood_test_ood_000010_06,test_ood_000010,21,source_like,0,6,test_ood_000010_t0_c6,big,big_0,0,1.0,0.9,20,43991.023,43991.0234375,42971.421875,56055.328125,60080.53125,69413.65625,LO,3524939,4285244,test_ood,60080.53125,0.0,60080.53125,True,True,0.0,0.0,60080.53125,True
test_ood_test_ood_000010_07,test_ood_000010,817,sink_like,1,0,test_ood_000010_t1_c0,little,little_0,1,0.9,0.86,816,296945.1,296945.09375,288955.78125,313998.375,321163.5625,337268.0,LO,3524939,4285244,test_ood,321163.5625,0.0,321163.5625,True,True,0.0,0.0,321163.5625,True
test_ood_test_ood_000010_08,test_ood_000010,817,sink_like,1,1,test_ood_000010_t1_c1,big,big_1,2,1.8,1.06,816,101241.41,101241.40625,111816.03125,126762.234375,130891.625,141224.5625,LO,3524939,4285244,test_ood,130891.625,0.0,130891.625,True,True,0.0,0.0,130891.625,True
test_ood_test_ood_000010_00,test_ood_000010,21,source_like,0,0,test_ood_000010_t0_c0,big,big_0,1,1.4,0.98,20,26989.414,26989.4140625,25376.171875,37757.15625,41653.828125,50400.6875,LO,3524939,4285244,test_ood,41653.828125,0.0,41653.828125,True,True,0.0,0.0,41653.828125,True
test_ood_test_ood_000010_01,test_ood_000010,21,source_like,0,1,test_ood_000010_t0_c1,little,little_1,1,0.9,0.86,20,68333.07,68333.0703125,66539.0,80946.8125,85176.578125,95348.609375,LO,3524939,4285244,test_ood,85176.578125,0.0,85176.578125,True,True,0.0,0.0,85176.578125,True
test_ood_test_ood_000010_10,test_ood_000010,817,sink_like,1,3,test_ood_000010_t1_c3,big,big_1,3,2.2,1.15,816,103999.28,103999.28125,111708.859375,126704.4375,130834.671875,141176.34375,LO,3524939,4285244,test_ood,130834.671875,0.0,130834.671875,True,True,0.0,0.0,130834.671875,True
test_ood_test_ood_000010_17,test_ood_000010,451,middle,2,3,test_ood_000010_t2_c3,little,little_1,3,1.5,1.0,450,363602.2,363602.1875,360307.59375,391067.25,399774.84375,418809.03125,LO,3524939,4285244,test_ood,399774.84375,0.0,399774.84375,True,True,0.0,0.0,399774.84375,True
