target_role,n,pinball_Q50,pinball_Q90,pinball_Q95,pinball_Q99,mean_pinball,coverage_Q50,coverage_Q90,coverage_Q95,coverage_Q99,mae,rmse,mape,bias,quantile_crossing_rate,eval_split
communication_heavy,280,8300.973395647321,3799.1185797991066,2310.5048311941982,676.3874852120541,3771.7460729631694,0.42142857142857143,0.95,0.9892857142857143,1.0,16601.946791294642,22808.56838794279,4.178338298081402,-2373.3014229910714,0.0,test_id
diverse_fill_1,168,6158.621163504465,2908.929536365327,1755.632606724332,496.2553438895094,2829.8596626209082,0.5059523809523809,0.9761904761904762,0.9940476190476191,1.0,12317.24232700893,25756.293875173684,5.164600341142763,5745.184221540178,0.0,test_id
diverse_fill_2,28,3576.8550153459823,1179.0887486049105,728.0798653738847,259.97245186941984,1435.9990202985493,0.14285714285714285,0.9642857142857143,1.0,1.0,7153.710030691965,10349.498656598487,4.640602444995542,-7014.81396484375,0.0,test_id
high_degree,224,5880.955557686942,2871.6723266601557,1737.5156659807492,486.46727800641787,2744.152707083566,0.49107142857142855,0.9508928571428571,0.9776785714285714,1.0,11761.911115373883,17032.51311114534,4.825382227917878,-665.9610246930804,0.0,test_id
middle,350,5489.924609375,2861.6032522321425,1741.8838627232158,496.2483006696433,2647.4150062500007,0.5685714285714286,0.9714285714285714,0.9857142857142858,1.0,10979.84921875,15481.748835864179,4.484939027287563,1930.4231919642857,0.0,test_id
random,350,4290.632112165179,2151.4759246651784,1351.7308931361617,396.66989202008966,2047.6272054966523,0.5685714285714286,0.9714285714285714,0.9971428571428571,1.0,8581.264224330358,12014.521389135956,4.9992269057983725,214.51156808035714,0.0,test_id
sink_like,350,7108.373794642857,3560.0841071428563,2172.1101227678587,595.4929973214291,3359.0152554687506,0.56,0.9742857142857143,0.9885714285714285,1.0,14216.747589285715,21730.382060611046,4.3722017453157145,1273.2239732142857,0.0,test_id
source_like,350,2187.595265066964,1435.6789190848212,919.1194729352686,282.4881097656252,1206.2204417131697,0.37142857142857144,0.9742857142857143,0.9942857142857143,1.0,4375.190530133928,6668.890288450768,4.579026139573072,-2342.0958984375,0.0,test_id
communication_heavy,301,12668.514638704319,6976.209499584718,4621.761145141198,1504.5895328073095,6442.7687040593855,0.43521594684385384,0.8637873754152824,0.9003322259136213,0.9568106312292359,25337.029277408637,38052.31603338595,5.420661656980022,-10516.387769933555,0.0,test_ood
diverse_fill_1,119,8194.945936186974,4658.5131433823535,2870.5998621323547,781.0894393382358,4126.28709525998,0.6470588235294118,0.9243697478991597,0.9411764705882353,0.9747899159663865,16389.891872373948,24570.309978101366,6.983496129550566,4485.877232142857,0.0,test_ood
diverse_fill_2,35,4010.8775669642855,2290.6320535714276,1426.1653794642868,415.31403571428604,2035.7472589285715,0.6857142857142857,1.0,1.0,1.0,8021.755133928571,9913.088146244801,4.361008343753196,3218.8745535714284,0.0,test_ood
high_degree,245,6451.525334821428,3191.456527423469,1905.1512324617363,527.0837120535718,3018.8042016900517,0.5428571428571428,0.9346938775510204,0.9673469387755103,0.9959183673469387,12903.050669642857,17727.277729758414,4.945358203058318,-759.5046875,0.0,test_ood
middle,350,9648.704397321428,6112.733964285715,4396.928174107144,2142.311284375,5575.169455022321,0.6,0.9142857142857143,0.9314285714285714,0.9571428571428572,19297.408794642855,31884.480319413597,6.20147787147187,70.23928571428571,0.0,test_ood
random,350,7297.550139508929,3079.124436383928,1798.2504882812516,490.61131997767905,3166.3840960379466,0.6142857142857143,0.9771428571428571,0.9885714285714285,1.0,14595.100279017857,30735.196995347014,7.388434173124477,9012.443426339285,0.0,test_ood
sink_like,350,11911.292924107143,8651.343687499999,6857.416535714287,4218.294061160715,7909.586802120537,0.5742857142857143,0.9171428571428571,0.94,0.9714285714285714,23822.585848214287,52417.03555386232,6.154692495472036,-2484.9363392857144,0.0,test_ood
source_like,350,2494.0404380580358,1315.9675150669639,841.4635499441971,273.73294123883954,1231.3011110770092,0.3,0.98,0.9914285714285714,1.0,4988.0808761160715,7231.727819463944,5.429005280905118,-2884.6632868303573,0.0,test_ood
