sample_id,graph_id,target_node,target_role,target_index,context_index,context_id,core_type,core_id,dvfs_level,frequency_ghz,voltage_v,local_target_node_index,y_exec_us_raw,Q50_pred_us,Q90_pred_us,Q95_pred_us,Q99_pred_us,scenario_active_core_count,active_core_count_zscore,criticality,Qhat_base_us,q_conf_us,C_e_us,y_exec_us_original_context_NOT_GROUND_TRUTH_for_this_scenario,uncertainty_spread_us
test_id_test_id_000008_00,test_id_000008,7,source_like,0,0,test_id_000008_t0_c0,big,big_1,1,1.4,0.98,6,70442.24,68050.765625,81887.109375,85786.828125,95349.625,16,16.54112116655836,HI,85786.828125,15665.78125,101452.609375,70442.2421875,27298.859375
test_id_test_id_000008_01,test_id_000008,7,source_like,0,1,test_id_000008_t0_c1,little,little_0,1,0.9,0.86,6,159207.81,156919.96875,174451.96875,179670.0,191944.90625,16,16.54112116655836,HI,179670.0,15665.78125,195335.78125,159207.8125,35024.9375
test_id_test_id_000008_02,test_id_000008,7,source_like,0,2,test_id_000008_t0_c2,big,big_0,2,1.8,1.06,6,54589.582,52872.3125,65969.171875,69766.46875,78853.0625,16,16.54112116655836,HI,69766.46875,15665.78125,85432.25,54589.58203125,25980.75
test_id_test_id_000008_03,test_id_000008,7,source_like,0,3,test_id_000008_t0_c3,little,little_1,2,1.2,0.93,6,113274.22,109480.15625,124629.6875,128874.84375,139427.65625,16,16.54112116655836,HI,128874.84375,15665.78125,144540.625,113274.21875,29947.5
test_id_test_id_000008_04,test_id_000008,7,source_like,0,4,test_id_000008_t0_c4,big,big_1,3,2.2,1.15,6,42978.164,43223.5625,55911.171875,59672.578125,68504.625,16,16.54112116655836,HI,59672.578125,15665.78125,75338.359375,42978.1640625,25281.0625
test_id_test_id_000008_05,test_id_000008,7,source_like,0,5,test_id_000008_t0_c5,little,little_1,3,1.5,1.0,6,101568.36,91335.78125,106000.703125,110016.34375,120110.359375,16,16.54112116655836,HI,110016.34375,15665.78125,125682.125,101568.359375,28774.578125
test_id_test_id_000008_06,test_id_000008,7,source_like,0,6,test_id_000008_t0_c6,big,big_1,0,1.0,0.9,6,86958.97,87240.984375,101945.234375,106063.421875,116316.984375,16,16.54112116655836,HI,106063.421875,15665.78125,121729.203125,86958.96875,29076.0
test_id_test_id_000008_07,test_id_000008,65,sink_like,1,0,test_id_000008_t1_c0,little,little_1,1,0.9,0.86,64,480436.7,472953.0625,512916.1875,524377.3125,547473.375,16,16.54112116655836,HI,524377.3125,15665.78125,540043.09375,480436.6875,74520.3125
test_id_test_id_000008_08,test_id_000008,65,sink_like,1,1,test_id_000008_t1_c1,big,big_0,2,1.8,1.06,64,184915.81,191763.296875,210945.71875,216703.25,229906.53125,16,16.54112116655836,HI,216703.25,15665.78125,232369.03125,184915.8125,38143.234375
test_id_test_id_000008_09,test_id_000008,65,sink_like,1,2,test_id_000008_t1_c2,little,little_1,2,1.2,0.93,64,285244.62,297031.8125,322719.53125,330089.09375,346560.03125,16,16.54112116655836,HI,330089.09375,15665.78125,345754.875,285244.625,49528.21875
