graph_id,criticality,scheduler,cost_estimator,deadline_us,period_us,R_end_us,deadline_missed,tardiness_us,slack_us,makespan_us
test_id_000008,HI,DeadlineAwareList,Q50_pred_us,1570834.0,2256307.0,3862779.023901316,True,2291945.023901316,-2291945.023901316,3862779.023901316
test_id_000008,HI,DeadlineAwareList,Q95_pred_us,1570834.0,2256307.0,4489922.108750001,True,2919088.1087500006,-2919088.1087500006,4489922.108750001
test_id_000008,HI,DeadlineAwareList,C_e_us,1570834.0,2256307.0,4941218.346223684,True,3370384.346223684,-3370384.346223684,4941218.346223684
test_id_000028,LO,DeadlineAwareList,Q50_pred_us,3890499.0,4409997.0,4019469.6595714283,True,128970.65957142832,-128970.65957142832,4019469.6595714283
test_id_000028,LO,DeadlineAwareList,Q95_pred_us,3890499.0,4409997.0,4701351.490964286,True,810852.490964286,-810852.490964286,4701351.490964286
test_id_000028,LO,DeadlineAwareList,C_e_us,3890499.0,4409997.0,4701351.490964286,True,810852.490964286,-810852.490964286,4701351.490964286
test_id_000099,HI,DeadlineAwareList,Q50_pred_us,10460095.0,12025768.0,10307732.59375,False,0.0,152362.40625,10307732.59375
test_id_000099,HI,DeadlineAwareList,Q95_pred_us,10460095.0,12025768.0,12409365.594598684,True,1949270.5945986845,-1949270.5945986845,12409365.594598684
test_id_000099,HI,DeadlineAwareList,C_e_us,10460095.0,12025768.0,14212013.797723684,True,3751918.7977236845,-3751918.7977236845,14212013.797723684
test_id_000131,LO,DeadlineAwareList,Q50_pred_us,10392708.0,12687196.0,11389759.844,True,997051.8440000005,-997051.8440000005,11389759.844
test_id_000131,LO,DeadlineAwareList,Q95_pred_us,10392708.0,12687196.0,13150917.6565,True,2758209.6565000005,-2758209.6565000005,13150917.6565
test_id_000131,LO,DeadlineAwareList,C_e_us,10392708.0,12687196.0,13150917.6565,True,2758209.6565000005,-2758209.6565000005,13150917.6565
test_id_000150,HI,DeadlineAwareList,Q50_pred_us,5198005.0,7604272.0,4039087.6819642857,False,0.0,1158917.3180357143,4039087.6819642857
test_id_000150,HI,DeadlineAwareList,Q95_pred_us,5198005.0,7604272.0,4939499.34375,False,0.0,258505.65625,4939499.34375
test_id_000150,HI,DeadlineAwareList,C_e_us,5198005.0,7604272.0,5662791.966322368,True,464786.966322368,-464786.966322368,5662791.966322368
test_id_000168,LO,DeadlineAwareList,Q50_pred_us,902470.0,1343921.0,8764367.8125,True,7861897.8125,-7861897.8125,8764367.8125
test_id_000168,LO,DeadlineAwareList,Q95_pred_us,902470.0,1343921.0,10291840.765625,True,9389370.765625,-9389370.765625,10291840.765625
test_id_000168,LO,DeadlineAwareList,C_e_us,902470.0,1343921.0,10291840.765625,True,9389370.765625,-9389370.765625,10291840.765625
