graph_id,criticality,scheduler,cost_estimator,deadline_us,period_us,R_end_us,deadline_missed,tardiness_us,slack_us,makespan_us
test_id_000008,HI,HEFT,Q50_pred_us,1570834.0,2256307.0,3918003.125401316,True,2347169.125401316,-2347169.125401316,3918003.125401316
test_id_000008,HI,HEFT,Q95_pred_us,1570834.0,2256307.0,4501426.560026316,True,2930592.560026316,-2930592.560026316,4501426.560026316
test_id_000008,HI,HEFT,C_e_us,1570834.0,2256307.0,4941425.481901316,True,3370591.481901316,-3370591.481901316,4941425.481901316
test_id_000028,LO,HEFT,Q50_pred_us,3890499.0,4409997.0,3983746.176357143,True,93247.1763571431,-93247.1763571431,3983746.176357143
test_id_000028,LO,HEFT,Q95_pred_us,3890499.0,4409997.0,4621341.506281015,True,730842.5062810155,-730842.5062810155,4621341.506281015
test_id_000028,LO,HEFT,C_e_us,3890499.0,4409997.0,4621341.506281015,True,730842.5062810155,-730842.5062810155,4621341.506281015
test_id_000099,HI,HEFT,Q50_pred_us,10460095.0,12025768.0,10336437.828125,False,0.0,123657.171875,10336437.828125
test_id_000099,HI,HEFT,Q95_pred_us,10460095.0,12025768.0,12425030.546875,True,1964935.546875,-1964935.546875,12425030.546875
test_id_000099,HI,HEFT,C_e_us,10460095.0,12025768.0,14189295.96875,True,3729200.96875,-3729200.96875,14189295.96875
test_id_000131,LO,HEFT,Q50_pred_us,10392708.0,12687196.0,11323743.136651315,True,931035.1366513148,-931035.1366513148,11323743.136651315
test_id_000131,LO,HEFT,Q95_pred_us,10392708.0,12687196.0,12986110.21050094,True,2593402.2105009407,-2593402.2105009407,12986110.21050094
test_id_000131,LO,HEFT,C_e_us,10392708.0,12687196.0,12986110.21050094,True,2593402.2105009407,-2593402.2105009407,12986110.21050094
test_id_000150,HI,HEFT,Q50_pred_us,5198005.0,7604272.0,4112683.28125,False,0.0,1085321.71875,4112683.28125
test_id_000150,HI,HEFT,Q95_pred_us,5198005.0,7604272.0,4953032.6966475565,False,0.0,244972.3033524435,4953032.6966475565
test_id_000150,HI,HEFT,C_e_us,5198005.0,7604272.0,5625477.650714286,True,427472.6507142857,-427472.6507142857,5625477.650714286
test_id_000168,LO,HEFT,Q50_pred_us,902470.0,1343921.0,8767763.501375,True,7865293.501375001,-7865293.501375001,8767763.501375
test_id_000168,LO,HEFT,Q95_pred_us,902470.0,1343921.0,10349559.484375,True,9447089.484375,-9447089.484375,10349559.484375
test_id_000168,LO,HEFT,C_e_us,902470.0,1343921.0,10349559.484375,True,9447089.484375,-9447089.484375,10349559.484375
test_id_000190,HI,HEFT,Q50_pred_us,773476.0,859621.0,12061864.90625,True,11288388.90625,-11288388.90625,12061864.90625
test_id_000190,HI,HEFT,Q95_pred_us,773476.0,859621.0,13936469.3125,True,13162993.3125,-13162993.3125,13936469.3125
test_id_000190,HI,HEFT,C_e_us,773476.0,859621.0,15233371.015625,True,14459895.015625,-14459895.015625,15233371.015625
test_id_000204,LO,HEFT,Q50_pred_us,13698063.0,16867822.0,19890580.25045395,True,6192517.250453949,-6192517.250453949,19890580.25045395
test_id_000204,LO,HEFT,Q95_pred_us,13698063.0,16867822.0,23302309.0625,True,9604246.0625,-9604246.0625,23302309.0625
test_id_000204,LO,HEFT,C_e_us,13698063.0,16867822.0,23302309.0625,True,9604246.0625,-9604246.0625,23302309.0625
test_id_000219,HI,HEFT,Q50_pred_us,814398.0,1092345.0,18984998.484375,True,18170600.484375,-18170600.484375,18984998.484375
test_id_000219,HI,HEFT,Q95_pred_us,814398.0,1092345.0,21918689.8125,True,21104291.8125,-21104291.8125,21918689.8125
test_id_000219,HI,HEFT,C_e_us,814398.0,1092345.0,23794021.234375,True,22979623.234375,-22979623.234375,23794021.234375
test_id_000233,LO,HEFT,Q50_pred_us,5414081.0,6551886.0,6662936.948644737,True,1248855.9486447368,-1248855.9486447368,6662936.948644737
test_id_000233,LO,HEFT,Q95_pred_us,5414081.0,6551886.0,7819969.823644737,True,2405888.823644737,-2405888.823644737,7819969.823644737
test_id_000233,LO,HEFT,C_e_us,5414081.0,6551886.0,7819969.823644737,True,2405888.823644737,-2405888.823644737,7819969.823644737
test_id_000241,HI,HEFT,Q50_pred_us,2847461.0,3943302.0,14378591.79230263,True,11531130.79230263,-11531130.79230263,14378591.79230263
test_id_000241,HI,HEFT,Q95_pred_us,2847461.0,3943302.0,16743971.765625,True,13896510.765625,-13896510.765625,16743971.765625
test_id_000241,HI,HEFT,C_e_us,2847461.0,3943302.0,18542335.765625,True,15694874.765625,-15694874.765625,18542335.765625
test_id_000254,LO,HEFT,Q50_pred_us,1011328.0,1343344.0,8062246.046875,True,7050918.046875,-7050918.046875,8062246.046875
test_id_000254,LO,HEFT,Q95_pred_us,1011328.0,1343344.0,9647014.953125,True,8635686.953125,-8635686.953125,9647014.953125
test_id_000254,LO,HEFT,C_e_us,1011328.0,1343344.0,9647014.953125,True,8635686.953125,-8635686.953125,9647014.953125
test_id_000341,HI,HEFT,Q50_pred_us,572020.0,726480.0,10569785.635427631,True,9997765.635427631,-9997765.635427631,10569785.635427631
test_id_000341,HI,HEFT,Q95_pred_us,572020.0,726480.0,12565957.087651316,True,11993937.087651316,-11993937.087651316,12565957.087651316
test_id_000341,HI,HEFT,C_e_us,572020.0,726480.0,14139343.515625,True,13567323.515625,-13567323.515625,14139343.515625
test_id_000343,LO,HEFT,Q50_pred_us,2811046.0,3739279.0,16480770.377013158,True,13669724.377013158,-13669724.377013158,16480770.377013158
test_id_000343,LO,HEFT,Q95_pred_us,2811046.0,3739279.0,19197825.25688816,True,16386779.256888159,-16386779.256888159,19197825.25688816
test_id_000343,LO,HEFT,C_e_us,2811046.0,3739279.0,19197825.25688816,True,16386779.256888159,-16386779.256888159,19197825.25688816
test_id_000386,HI,HEFT,Q50_pred_us,1741176.0,2112587.0,9327492.015625,True,7586316.015625,-7586316.015625,9327492.015625
test_id_000386,HI,HEFT,Q95_pred_us,1741176.0,2112587.0,11097542.3125,True,9356366.3125,-9356366.3125,11097542.3125
test_id_000386,HI,HEFT,C_e_us,1741176.0,2112587.0,12480309.21875,True,10739133.21875,-10739133.21875,12480309.21875
test_id_000423,LO,HEFT,Q50_pred_us,7965044.0,9967637.0,20844403.345710527,True,12879359.345710527,-12879359.345710527,20844403.345710527
test_id_000423,LO,HEFT,Q95_pred_us,7965044.0,9967637.0,23629075.95075658,True,15664031.95075658,-15664031.95075658,23629075.95075658
test_id_000423,LO,HEFT,C_e_us,7965044.0,9967637.0,23629075.95075658,True,15664031.95075658,-15664031.95075658,23629075.95075658
test_id_000438,HI,HEFT,Q50_pred_us,639979.0,842787.0,4557818.375,True,3917839.375,-3917839.375,4557818.375
test_id_000438,HI,HEFT,Q95_pred_us,639979.0,842787.0,5364217.484375,True,4724238.484375,-4724238.484375,5364217.484375
test_id_000438,HI,HEFT,C_e_us,639979.0,842787.0,6022153.140625,True,5382174.140625,-5382174.140625,6022153.140625
test_id_000448,LO,HEFT,Q50_pred_us,1274585.0,1412000.0,1561235.7239924811,True,286650.72399248113,-286650.72399248113,1561235.7239924811
test_id_000448,LO,HEFT,Q95_pred_us,1274585.0,1412000.0,1871607.6130639096,True,597022.6130639096,-597022.6130639096,1871607.6130639096
test_id_000448,LO,HEFT,C_e_us,1274585.0,1412000.0,1871607.6130639096,True,597022.6130639096,-597022.6130639096,1871607.6130639096
