scheduler,cost_estimator,criticality,n,DMR,mean_tardiness_us,mean_slack_us
DeadlineAwareList,C_e_us,HI,25,1.0,9099147.161643082,-9099147.161643082
DeadlineAwareList,C_e_us,LO,25,0.96,5737289.34961436,-5710577.587347218
DeadlineAwareList,Q50_pred_us,HI,25,0.76,6200704.097863572,-5950830.581881428
DeadlineAwareList,Q50_pred_us,LO,25,0.92,4423221.256601278,-4336271.920268947
DeadlineAwareList,Q95_pred_us,HI,25,0.96,7747092.749483384,-7736752.523233384
DeadlineAwareList,Q95_pred_us,LO,25,0.96,5737289.34961436,-5710577.587347218
HEFT,C_e_us,HI,25,1.0,9083817.253591053,-9083817.253591053
HEFT,C_e_us,LO,25,0.96,5716958.068718233,-5691868.751933233
HEFT,Q50_pred_us,HI,25,0.76,6179458.02887891,-5940996.914805339
HEFT,Q50_pred_us,LO,25,0.92,4398838.924303985,-4308589.9846297
HEFT,Q95_pred_us,HI,25,0.96,7747612.524700339,-7737813.632566241
HEFT,Q95_pred_us,LO,25,0.96,5716958.068718233,-5691868.751933233
